category,fsq_id,name,latitude,longitude,address,PC6
Bakery,4d7dffcc564b8cfa0bc0e864,Bakker Tim,52.048802,4.275778,Leyweg 597,2545GH
Tea Room,4d7dffcc564b8cfa0bc0e864,Bakker Tim,52.048802,4.275778,Leyweg 597,2545GH
Sandwich Restaurant,4d7dffcc564b8cfa0bc0e864,Bakker Tim,52.048802,4.275778,Leyweg 597,2545GH
Bar,4e46e04018a8f9804ccf1e4c,Club Burnie,52.043834,4.275777,Melis stokelaan,2541EW
Restaurant,9a9a8646931f4f505d763894,Fu & Feng VOF,52.046254,4.282912,Enschedelaan 17,2541CG
Restaurant,c0b060d81a45499b9f6b6774,Bbg,52.048222,4.273815,Oosterhesselenstraat 153,2545SR
Restaurant,d5aff7894e45496e5b04b6a2,Dolomiti Italiaanse Ijssalon,52.045984,4.272548,Wapserveenstraat 498,2545LM
Pizzeria,4dd00762fa7664b7c6cf05a9,New York Pizza,52.050823,4.274114,Leyweg 908,2545GT
Turkish Restaurant,4f6737e0e4b0788a91b61fdd,Midpoint,52.050419,4.274099,Leyweg,2545GT
Seafood Restaurant,4f1fdeebe4b0512ede01e656,Arie's Visboetiek,52.050237,4.274584,"Leyweg, Den Haag",2545JT
Middle Eastern Restaurant,4ebd09fc6c257f09adc2351a,Eethuis Leyweg,52.050113,4.274412,"Leyweg 178, 2547 Den Haag",2545JT
Breakfast Spot,4f9a7fe7e4b05e5ed6600935,Lunchroom Sidis,52.049959,4.274742,,2545JT
French Restaurant,4c4aae38c668e21e2502faf8,Le Caneton,52.050113,4.274412,,2545JT
Bakery,4f8e9184e4b0342ed0c679c8,Bakkerij Leyweg,52.050906,4.273997,Leyweg 856,2545GS
Bakery,3de24f9695594840d4ee1aa1,Batuhan Sefer Bakkerij,52.05099,4.27388,Leyweg 856,2545GS
Restaurant,523d963a498e0b3dcb692244,Toko Dewi,52.050839,4.27282,Leyweg 519,2545GD
Cafeteria,4bc7355a6501c9b680ee3d29,Kwalitaria Almeloplein,52.055161,4.275338,Almeloplein 67,2541XB
Bakery,50420070e4b0133020cb5ccb,Bakkerij Oz Aktas,52.055481,4.27547,,2533AD
Snack Place,525a84c711d261e818508694,Kwalitaria,52.055384,4.275142,Almeloplein,2533AD
