category,fsq_id,name,latitude,longitude,address,PC6
Clothing Store,4c8f412cd80976b0c5d58775,MS Mode 's-Gravenhage,52.048857,4.276164,Leyweg 954,2545GV
Women's Store,4c8f412cd80976b0c5d58775,MS Mode 's-Gravenhage,52.048857,4.276164,Leyweg 954,2545GV
Retail,4e182d8618a8166f7388dc0a,ESDRAS Vakschoenmakerij,52.048857,4.276164,Leyweg 940/N,2545GV
Shoe Store,bad24924fdce4bdfd01d4b6b,The Athlete's Foot in Den Haag,52.049722,4.274841,Leyweg 918B,2545GV
Women's Store,ffa91516577f4e58881a42e7,ONLY in Den Haag,52.049387,4.275308,Leyweg 920,2545GV
Baby Store,5087c398fbd741fd0fbd9e09,Jeans Centr BV,52.048773,4.27628,Leyweg 940F,2545GV
Pet Supplies Store,5336d606498ee509b159e3e3,Effe Snuffelen,52.04788,4.277411,,2545GV
Clothing Store,553ba6d4498e7eb812f898e8,Wibra Leyweg,52.048005,4.277235,Leyweg 709 K,2545GV
Tobacco Store,4f50eae4e4b041b23c5b7336,Vivant Leyweg,52.048312,4.276923,,2545GV
Optometrist,4d1c6fc02a2a8eec5b5a2c2c,Specsavers,52.048312,4.276923,Leyweg 1032A,2545GV
Eyecare Store,4d1c6fc02a2a8eec5b5a2c2c,Specsavers,52.048312,4.276923,Leyweg 1032A,2545GV
Grocery Store / Supermarket,582e098f7f2549cfd6972a1e,Albert Heijn,52.048312,4.276923,Leyweg 1018,2545GV
Furniture and Home Store,1259a997732f46e1f0bcd767,Lydia Bakker,52.048563,4.276572,Leyweg 988,2545GV
Retail,1f78753a16d8495c7fa4b034,Leyplaza Telecom,52.048633,4.276359,Leyweg 940 M unit 7a,2545GV
Telecommunication Service,502ca875e4b0b49bb4004290,One Mobility Leyweg BV,52.049776,4.275574,Leyweg 920 A,2545JT
Mobile Phone Store,502ca875e4b0b49bb4004290,One Mobility Leyweg BV,52.049776,4.275574,Leyweg 920 A,2545JT
Drugstore,592c36b9db1d811307be0c1c,Apotheek Brusse,52.049682,4.274204,Leyweg 555,2545GG
Fish Market,5b4ddb09c0af57002c2e9553,Simonis,52.050298,4.273104,,2545GG
Pet Supplies Store,4cced9fd063a721ee1819c9a,Pet's Place,52.050393,4.273211,Leyweg 539,2545GG
Food and Beverage Retail,fd3efff7687c48c2e16711f8,Agrifert BV,52.050409,4.272613,Leyweg 533/C,2545GG
Video Store,4bf837b35317a5938c6bff7e,Videoland,52.050603,4.272919,Leyweg 535 C,2545GG
Clothing Store,4d89dd044757721eafe5a969,Zeeman Textielsupers,52.04957,4.274476,Leyweg 559/561,2545GH
Computers and Electronics Retail,4c0b8329009a0f474f31ebbf,Belcompany,52.049109,4.275118,Leyweg 591,2545GH
Optometrist,504e291ffe1e2b5124accbfd,Hans Anders,52.048676,4.275953,Leyweg 595,2545GH
Eyecare Store,504e291ffe1e2b5124accbfd,Hans Anders,52.048676,4.275953,Leyweg 595,2545GH
Mobile Phone Store,4d964212edc941bd798f925c,Phone House,52.048898,4.276105,Leyweg 940 K,2545GH
Retail,fe38652328174b527d4fa40f,Den Haag Leyweg,52.04957,4.274476,Leyweg 559/561,2545GH
Women's Store,c111253b0432477df24b21a2,Brigitte Mode,52.049486,4.274593,Leyweg 575,2545GH
Retail,d125c43dec2149ecfdd4c10b,T for Telecom,52.04894,4.276047,Leyweg 940/G,2545GH
Drugstore,1db97c1aab0e4a2283557515,Drog-Beautystore Kalisvaart,52.048774,4.275933,Leyweg 595C,2545GH
Eyecare Store,9cf1135c619b4b1c265b9acd,Regenboog Verloskundigenpraktijk,52.049963,4.272656,Hengelolaan 191/D,2545JG
Women's Store,88b2d7e1c6a14db7edb7fffb,Bala Boutique,52.049574,4.27239,Hengelolaan 195B,2545JH
Drugstore,29e4afdc45e546534b916061,Kraamzorg My Baby,52.049574,4.27239,Hengelolaan 195-C,2545JH
Clothing Store,216ffad933874513b6ac6e24,Rainbow Fashion,52.048635,4.275664,Leyweg 611,2545GJ
Grocery Store / Supermarket,53492f4d498eaa5f2c702907,Supermarkt Leyweg,52.05099,4.27388,Leyweg 872,2545GS
Grocery Store / Supermarket,8af3080e79fa48e23a93ef47,Alpha Basismarkt,52.05099,4.27388,Leyweg 872,2545GS
Women's Store,a5140f618f1d4624d45a6e8a,R Handel,52.052185,4.27487,Hellendoornstraat 98,2541AT
Food and Beverage Retail,97275993f6b64e249376a26d,Marché,52.052185,4.27487,Hellendoornstraat 114,2541AT
Grocery Store / Supermarket,fe0b03cab99e4ab3f0faaf12,Buurtsupermarkt Nour,52.051835,4.275936,Holtenstraat 2,2541XN
Butcher,ba6529ebacfd4fb272be4f1e,Slagerij El Mohsinin,52.05189,4.275974,Holtenstraat 2,2541XN
Baby Store,f4cd45f997c44c2d8e69971a,Babycenter,52.05077,4.272686,Leyweg 523 A,2545GD
Retail,b5519bfdaa9d4f4433b2874c,Jayesh Malaha,52.052714,4.274362,Hellendoornstraat 22,2541AS
Home Appliance Store,f1c1fb45456b4c0778a06992,Hout Ambulante Markthandel,52.054314,4.274324,Maartensdijklaan 140,2541XT
Food and Beverage Retail,4cb2aa5307004663afa81f68,Party Service Le Vert,52.052619,4.27334,Wijhestraat 4,2541AM
Food and Beverage Retail,91df6096ec5d49531344be4a,Saérah Catering,52.054067,4.272937,Raaltestraat 14,2541AD
Sporting Goods Retail,4cf7a9e3d3a8a1cd17ded743,Dartsworld,52.055567,4.273962,Almeloplein 70,2533AC
Pet Supplies Store,4ec0fe9b5c5c3d470d3d3024,Dierenspeciaalzaak Moerwijk,52.055775,4.274366,Almeloplein 36,2533AC
Bicycle Store,4e5657a1b0fbb294aaa6b515,Badoux Fietsen,52.055706,4.274231,Almeloplein 54,2533AC
Drugstore,4e68b293d4c0c57090689bc1,Alpha Apotheek,52.056108,4.274941,Almeloplein 8-9,2533AA
Furniture and Home Store,4c91c5f07f3b8cfa12a89f1e,GeHaVe,52.056107,4.275289,Ryksstrwg 33,2533AA
Home Appliance Store,1ce97b7fb353400a4464f315,Akkoc Markthandel,52.056163,4.274979,Almeloplein 4,2533AA
Retail,ea425df695e64cadba85c6dd,EnginEars 002 B.V.,52.056177,4.275075,Almeloplein 1,2533AA
Grocery Store / Supermarket,57372085498ee39ba9744d0e,Almeloplein,52.055897,4.27518,,2533AD
Butcher,4c91c68a238c6dcb13f8c255,Man Slagerij De,52.05537,4.275394,Almeloplein 69,2533AD
Grocery Store / Supermarket,36c96331a95e45ffbc22d3d7,Appeltje/Peertje Grnt/fruith,52.055343,4.274853,Almeloplein 77,2533AD
Liquor Store,e2007d20ea3e4d3ea3e46069,Pronk Slijterij Wijnhandel E,52.05512,4.275049,Almeloplein 66,2533AD
Grocery Store / Supermarket,4bac6ec0f964a520ddf43ae3,Lidl,52.055439,4.275528,Almeloplein 73-75,2541XB
Butcher,6f2cd05100f746d9053776aa,Slagerij Cassablanca,52.055188,4.275531,Almeloplein 69,2541XB
Electronics Store,500920efe4b0639ac2982310,MediaGek,52.055653,4.272803,Vreeswijkstraat 228,2546CD
Grocery Store / Supermarket,5b213e15446ea6002c304b97,Supermarkt Dilux,52.055653,4.272803,Vreeswijkstraat 238,2546CD
Home Appliance Store,309cdd8a733f48cd903680e0,Cheap City,52.05564,4.272707,Vreeswijkstraat 236,2546CD
Flower Store,4c91c3c457e5b60c4576631c,Bloemenhuis Lentefleur,52.056233,4.275113,Loevesteinlaan 27,2533AE
Butcher,4c57dd316201e21e1a217c6f,Slagerij de Stede,52.057139,4.27408,Driebergenstraat 353,2546BK
Meat and Seafood Store,4c57dd316201e21e1a217c6f,Slagerij de Stede,52.057139,4.27408,Driebergenstraat 353,2546BK
Hardware Store,4c8e7dbdd68c6dcb57bafca1,Sudmeyer IJzerhandel,52.056708,4.273872,Vreeswijkstraat 537,2546AN
Tobacco Store,4e202f3318a88345f03d5e70,Driehoek Kantoorboekhandel De,52.05725,4.274155,Driebergenstraat 321,2546BJ
Tobacco Store,e0347b2708aa46fedb386409,Totaal Gemak in Den Haag,52.057306,4.274193,Driebergenstraat 321,2546BJ
Automotive Retail,4e855c36775bf6883238b8ff,Autobedrijf van Batenburg,52.05803,4.27608,,2546AK
Food and Beverage Retail,4b9f105310544b4335a305c3,Kingdom Merchandise and Publications,52.05788,4.272237,Maarsbergenstraat 149,2546SP
Jewelry Store,4c921b54b641236a3ae78679,Juwelier C.M. Ros & Zoon B.V.,52.059686,4.273645,Driebergenstraat 143,2546BC
Retail,55f2a9bd498e717e5bb115de,Brocanterie Maria,52.059438,4.272257,Werkhovenstraat 82,2546VD
Fruit and Vegetable Store,66411679f40c4bd38e6e85ff,Robbinson Groente- en Fruithandel,52.059796,4.274068,Driebergenstraat 126,2546BN
Clothing Store,991b3c0e5f1a4eea94e1e565,Bijl M J,52.060699,4.274772,Leersumstraat 8,2546TK
Food and Beverage Retail,e99cc034feb34d338c8b9f60,Tica Groothandel,52.060522,4.272824,Maarsbergenstraat 19,2546SL
Shoe Store,4fe5cb3ae4b0c7d6baf761da,Only one,52.042523,4.27906,,2541RT
Electronics Store,4e4d25cf52b1075a63938361,Block,52.042518,4.276497,,2541JJ
Flower Store,38b9f559755242e3acc636de,Pracownia Flower Specialiste,52.041271,4.277158,Dedemsvaartweg 1185,2545DR
Pet Supplies Store,4e568c1852b12ddfc1e29e3b,Seaflower,52.043219,4.277097,,2541HR
Pet Grooming Service,4db6ac1b1e7248d135cce4a9,Cliff's Dog Shop,52.043345,4.276922,Leggelostraat 59,2541JD
Pet Supplies Store,4db6ac1b1e7248d135cce4a9,Cliff's Dog Shop,52.043345,4.276922,Leggelostraat 59,2541JD
Food and Beverage Retail,4e5ce364ae60839ea2dcb83f,Bab Mansour,52.045802,4.279732,Leyweg 797,2545HA
Fish Market,fbe7bb37ecb449a20f169035,Vishandel Rincon,52.045454,4.279755,Leyweg 805,2545HA
Bicycle Store,a2aa38ae59ff418caa1a67ab,Viszaak Santon,52.044464,4.280558,Leyweg 831,2545HA
Food and Beverage Retail,4dc930ded164033c5739ef85,Buurtsuper De Ley,52.044783,4.281037,Leyweg 1278,2545HA
Shoe Store,4e5256fb88775123c0e73b65,vanHaren in Den Haag,52.046446,4.27791,Leyweg 707J,2545GM
