"PC6","PC4","longitude","latitude","type","lid"
"2545GZ","2545",4.27819475433885,52.0474924279652,"work","work_80"
"2545HB","2545",4.28087126726393,52.0440588327174,"work","work_81"
"2541RK","2541",4.28075205355612,52.0439738470305,"work","work_82"
"2541RP","2541",4.28153035716151,52.0436143775928,"work","work_83"
"2545GM","2545",4.27782748635312,52.04692599937,"work","work_84"
"2545GM","2545",4.2779000119034,52.0470784766704,"work","work_85"
"2544GT","2544",4.25640868941891,52.0408006720991,"work","work_86"
"2545HH","2545",4.28009495632118,52.0459779388732,"work","work_87"
"2545GV","2545",4.27745286101624,52.04788836289,"work","work_88"
"2545GX","2545",4.27759108381179,52.0479847579737,"work","work_89"
"2545GL","2545",4.27709667551508,52.0475431433291,"work","work_90"
"2545GV","2545",4.27687698217866,52.0483223620831,"work","work_91"
"2545GH","2545",4.27519700175741,52.0490524481616,"work","work_92"
"2545GL","2545",4.27683033122786,52.0477480043768,"work","work_93"
"2545GK","2545",4.27630957561616,52.0481553653319,"work","work_94"
"2545GK","2545",4.27675849795929,52.0480379444687,"work","work_95"
"2533GA","2533",4.29038969318422,52.0495041612145,"work","work_96"
"2545GH","2545",4.27530244907298,52.0489721668927,"work","work_97"
"2545JB","2545",4.27621510907564,52.0515209017262,"work","work_98"
"2545GV","2545",4.27647174425675,52.0486727270781,"work","work_99"
"2545GV","2545",4.27597730827769,52.049477577509,"work","work_100"
"2544NL","2544",4.24005747155052,52.038406182067,"work","work_101"
"2543BG","2543",4.25892246119156,52.0439922567978,"work","work_102"
"2533AD","2533",4.27511870289979,52.0553842547686,"work","work_103"
"2545GM","2545",4.27831805674507,52.0469068981072,"work","work_104"
"2533JS","2533",4.2963037039889,52.051827131696,"work","work_105"
"2545GM","2545",4.2781240636814,52.0466049167956,"work","work_106"
"2543AP","2543",4.26495122827508,52.0430822436695,"work","work_107"
"2533HT","2533",4.29187994238973,52.0484027908596,"work","work_108"
"2544HT","2544",4.26299230363578,52.0460553586268,"work","work_109"
"2542NK","2542",4.25955489699311,52.0330153048906,"work","work_110"
"2542NK","2542",4.2596344222941,52.0329541242895,"work","work_111"
"2542JG","2542",4.25344210596632,52.0417181247839,"work","work_112"
"2533HT","2533",4.29071645842098,52.0490987530878,"work","work_113"
"2531HJ","2531",4.3054344480304,52.0515479618662,"work","work_114"
"2546BJ","2546",4.27416861069958,52.0574188676128,"work","work_115"
"2544LA","2544",4.24514070239033,52.0399919720758,"work","work_116"
"2533HV","2533",4.29218971575623,52.0481875494253,"work","work_117"
"2533HV","2533",4.29223223602469,52.0481579941051,"work","work_118"
"2533HW","2533",4.29288665042066,52.0477410101801,"work","work_119"
"2545GV","2545",4.27653379673729,52.0486231906724,"work","work_120"
"2545GH","2545",4.27607311090893,52.048569927966,"work","work_121"
"2545GJ","2545",4.27561853817446,52.0487032480699,"work","work_122"
"2544JN","2544",4.25590265235699,52.0447794272295,"work","work_123"
"2544JP","2544",4.25640647085388,52.0444563350672,"work","work_124"
"2545GW","2545",4.27654239444475,52.0488454842418,"work","work_125"
"2542EH","2542",4.26615702217698,52.035091439678,"work","work_126"
"2545GL","2545",4.27674984935909,52.0478100234154,"work","work_127"
"2545HH","2545",4.28035129542289,52.0457852013024,"work","work_128"
"2542EX","2542",4.26630722317288,52.0353664991272,"work","work_129"
"2545JN","2545",4.26799016467022,52.0479407654101,"work","work_130"
"2545GG","2545",4.27346012018611,52.0501881051892,"work","work_131"
"2544HT","2544",4.26310538416544,52.046123386922,"work","work_132"
"2532RX","2532",4.28805440052762,52.0447899921591,"work","work_133"
"2543BG","2543",4.26103070909404,52.042977749723,"work","work_134"
"2543BG","2543",4.25951031152211,52.0439199903006,"work","work_135"
"2533HT","2533",4.29116973944149,52.0488759424183,"work","work_136"
"2533HT","2533",4.29158155557566,52.0486095531223,"work","work_137"
"2533CE","2533",4.29166175410768,52.043345191328,"work","work_138"
"2545AB","2545",4.26236575079543,52.0554866141573,"work","work_139"
"2533HM","2533",4.29116363593726,52.0486536106828,"work","work_140"
"2545GM","2545",4.27792251489191,52.0469863465375,"work","work_141"
"2533LP","2533",4.29725522346006,52.0516779813963,"work","work_142"
"2545GK","2545",4.27717300448516,52.0477162053561,"work","work_143"
"2531HV","2531",4.30459839475937,52.0513164502969,"work","work_144"
"2543AP","2543",4.26513215041695,52.0429779354074,"work","work_145"
"2546TR","2546",4.27879052352999,52.0600622913968,"work","work_146"
"2542EH","2542",4.26634900897101,52.0351818794845,"work","work_147"
"2545GV","2545",4.27574095939063,52.0493661870411,"work","work_148"
"2545AA","2545",4.26292220499356,52.0569342195998,"work","work_149"
"2533HN","2533",4.29248898882078,52.0475287383901,"work","work_150"
"2545HH","2545",4.28072842199527,52.0454905503691,"work","work_151"
"2543SM","2543",4.26793832388963,52.038782656103,"work","work_152"
"2531HG","2531",4.30596385085163,52.0509427821786,"work","work_153"
"2545GV","2545",4.27740293070652,52.0479294566559,"work","work_154"
"2545GV","2545",4.27522098838868,52.0494995536129,"work","work_155"
"2545GJ","2545",4.27565455558421,52.0486747698761,"work","work_156"
"2542JC","2542",4.25323389433431,52.0421405017434,"work","work_157"
"2542NJ","2542",4.25883316397955,52.0335597849137,"work","work_158"
"2545HJ","2545",4.28098632543913,52.0452861946111,"work","work_159"
"2545HH","2545",4.28086960382534,52.0453786806608,"work","work_160"
"2545GG","2545",4.27365304776181,52.050245660161,"work","work_161"
"2545GW","2545",4.27674175120579,52.0486866711278,"work","work_162"
"2545HK","2545",4.28134969092319,52.0449982709182,"work","work_163"
"2533LK","2533",4.29725906124973,52.0514029870977,"work","work_164"
"2533JK","2533",4.29694756225522,52.0525296794206,"work","work_165"
"2533JL","2533",4.29618459369344,52.0521624066708,"work","work_166"
"2533JS","2533",4.29648025844892,52.0519118771963,"work","work_167"
"2533JS","2533",4.29612448418118,52.0517411028038,"work","work_168"
"2533AA","2533",4.27511495732055,52.0561670815575,"work","work_169"
"2533LR","2533",4.29741133365006,52.0515263380327,"work","work_170"
"2533JL","2533",4.29627346668652,52.0522051805631,"work","work_171"
"2531RG","2531",4.30661589577148,52.0508643259857,"work","work_172"
"2533LK","2533",4.29708224592103,52.0515756521498,"work","work_173"
"2541RK","2541",4.28036230929421,52.043771046218,"work","work_174"
"2545GV","2545",4.27674031448463,52.0484583506797,"work","work_175"
"2546VJ","2546",4.27181432451074,52.059147472799,"work","work_176"
"2545GW","2545",4.27689917788332,52.0485613502115,"work","work_177"
"2545JT","2545",4.27488905263907,52.0500479997189,"work","work_178"
"2533HT","2533",4.29203356125521,52.0482960573326,"work","work_179"
"2545JT","2545",4.27476460860514,52.0499884959027,"work","work_180"
"2545GG","2545",4.27372647215227,52.0502707859759,"work","work_181"
"2545GW","2545",4.27736176042155,52.0481729262239,"work","work_182"
"2533LR","2533",4.29770750420983,52.0512371943902,"work","work_183"
"2533HT","2533",4.29109894620181,52.0489270500302,"work","work_184"
"2533JS","2533",4.29621527592597,52.0517846765482,"work","work_185"
"2545GK","2545",4.27612518192601,52.0483022558994,"work","work_186"
"2545GH","2545",4.27613956550932,52.0485221951062,"work","work_187"
"2545GH","2545",4.27620948505145,52.0484640768595,"work","work_188"
"2545HK","2545",4.28147400852617,52.0448997613074,"work","work_189"
"2545JN","2545",4.2681530309777,52.0480145652945,"work","work_190"
"2545GK","2545",4.27642748160609,52.0480604769119,"work","work_191"
"2545GH","2545",4.27634950067191,52.0483553925136,"work","work_192"
"2531HG","2531",4.30559334406679,52.0505961437972,"work","work_193"
"2531HE","2531",4.30525511916567,52.0505210819918,"work","work_194"
"2545HB","2545",4.28076327949041,52.0442398506528,"work","work_195"
"2545HA","2545",4.2805628745987,52.0445757582449,"work","work_196"
"2541RK","2541",4.28054183874406,52.0438644643593,"work","work_197"
"2546AD","2546",4.27927653164375,52.0596801477693,"work","work_198"
"2545HJ","2545",4.2811110459238,52.0451873745533,"work","work_199"
"2545HA","2545",4.27951846512253,52.0456420620627,"work","work_200"
"2545HA","2545",4.27974341171637,52.0454607968785,"work","work_201"
"2533HN","2533",4.29271373458401,52.0473723997879,"work","work_202"
"2533HN","2533",4.29278014695256,52.0473261853578,"work","work_203"
"2533HW","2533",4.29296092053023,52.0476894484199,"work","work_204"
"2544JN","2544",4.25578162602191,52.0448573753513,"work","work_205"
"2544JP","2544",4.2560776779869,52.0446667074582,"work","work_206"
"2541HR","2541",4.27728459210057,52.0429245090644,"work","work_207"
"2541HR","2541",4.27742511085159,52.0426882588656,"work","work_208"
"2545JN","2545",4.2677020578007,52.047810214882,"work","work_209"
"2541HR","2541",4.27744499158944,52.0426548280306,"work","work_210"
"2543BG","2543",4.2613460603819,52.0423972813566,"work","work_211"
"2545GH","2545",4.27495654201044,52.049238726862,"work","work_212"
"2543BG","2543",4.25882902236233,52.0439389205883,"work","work_213"
"2543BG","2543",4.25904648744555,52.0437052537048,"work","work_214"
"2544CV","2544",4.2587627978416,52.0525947086269,"work","work_215"
"2545GH","2545",4.27499111418016,52.0492085992542,"work","work_216"
"2542JK","2542",4.25645914374525,52.0398572281857,"work","work_217"
"2545GM","2545",4.27767864843078,52.0466121369763,"work","work_218"
"2545GX","2545",4.277491990539,52.0480659820389,"work","work_219"
"2542NJ","2542",4.25892255551513,52.0334923352263,"work","work_220"
"2545GM","2545",4.27773266456452,52.0466384707423,"work","work_221"
"2545GV","2545",4.27733677514617,52.0479822717168,"work","work_222"
"2545GK","2545",4.27755936420203,52.0477234419131,"work","work_223"
"2541HR","2541",4.27736586474826,52.0427878539556,"work","work_224"
"2543BG","2543",4.26117995570601,52.0434690868284,"work","work_225"
"2545GM","2545",4.27770168663982,52.0464172337962,"work","work_226"
"2545GM","2545",4.27782612436791,52.0463814350929,"work","work_227"
"2543AN","2543",4.26452827320727,52.0433315714998,"work","work_228"
"2543AJ","2543",4.26431508427521,52.0430262464438,"work","work_229"
"2545GG","2545",4.27333607378149,52.0502978450579,"work","work_230"
